AO 22503
AO 22505
AKT 3, 89
AKT 3, 90
AKT 3, 91
AKT 3, 92
AKT 3, 93
AKT 3, 94
AKT 3, 95
AKT 3, 96
AKT 3, 97
AKT 3, 98
AKT 3, 99
AKT 4, 18
AKT 4, 28
AKT 4, 29
AKT 4, 30
AKT 4, 31
AKT 4, 32
AKT 4, 33
AKT 4, 34
AKT 4, 35
AKT 4, 36
AKT 4, 37
AKT 4, 38
AKT 4, 40
AKT 4, 41
AKT 4, 42
AKT 4, 43
AKT 4, 44
AKT 4, 45
AKT 4, 46
AKT 4, 47
AKT 4, 48
AKT 4, 49
AKT 4, 50
AKT 4, 51
AKT 4, 52
AKT 4, 53
AKT 4, 54
AKT 4, 55
AKT 4, 56
AKT 4, 58
AKT 4, 59
AKT 4, 60
AKT 4, 61
AKT 4, 62
AKT 4, 63
AKT 4, 64
AKT 4, 65
AKT 4, 66
AKT 4, 67
AKT 4, 68
AKT 4, 69
AKT 4, 70
AKT 4, 71
AnOr 6, 11
AnOr 6, 13
AnOr 6, 15
AnOr 6, 16
AnOr 6, 18
AnOr 6, 19
AnOr 6, 2
AnOr 6, 4
AnOr 6, 6
AnOr 6, 7
ATHE 25
ATHE 27
ATHE 28
ATHE 29
ATHE 30
ATHE 31
ATHE 32
ATHE 33
ATHE 34
ATHE 35
ATHE 36
ATHE 37
ATHE 38
ATHE 39
ATHE 40
ATHE 41
ATHE 42
ATHE 43
ATHE 44
ATHE 45
ATHE 46
ATHE 47
ATHE 59
ATHE 60
ATHE 61
ATHE 62
ATHE 63
ATHE 64
ATHE 65
ATHE 66
ATHE 76
Belleten 40, 176
Belleten 40, 177
Belleten 40, 180
Belleten 40, 182
BIN 4, 1
BIN 4, 10
BIN 4, 11
BIN 4, 12
BIN 4, 13
BIN 4, 139
BIN 4, 14
BIN 4, 15
BIN 4, 151
BIN 4, 16
BIN 4, 17
BIN 4, 18
BIN 4, 184
BIN 4, 19
BIN 4, 2
BIN 4, 20
BIN 4, 21
BIN 4, 217
BIN 4, 218
BIN 4, 219
BIN 4, 22
BIN 4, 220
BIN 4, 221
BIN 4, 222
BIN 4, 223
BIN 4, 224
BIN 4, 225
BIN 4, 226
BIN 4, 227
BIN 4, 228
BIN 4, 229
BIN 4, 23
BIN 4, 230
BIN 4, 231
BIN 4, 232
BIN 4, 233
BIN 4, 24
BIN 4, 25
BIN 4, 26
BIN 4, 27
BIN 4, 28
BIN 4, 29
BIN 4, 3
BIN 4, 30
BIN 4, 31
BIN 4, 32
BIN 4, 33
BIN 4, 34
BIN 4, 35
BIN 4, 36
BIN 4, 37
BIN 4, 38
BIN 4, 39
BIN 4, 4
BIN 4, 40
BIN 4, 41
BIN 4, 42
BIN 4, 43
BIN 4, 44
BIN 4, 45
BIN 4, 46
BIN 4, 47
BIN 4, 48
BIN 4, 49
BIN 4, 5
BIN 4, 50
BIN 4, 51
BIN 4, 52
BIN 4, 53
BIN 4, 54
BIN 4, 55
BIN 4, 56
BIN 4, 57
BIN 4, 58
BIN 4, 59
BIN 4, 6
BIN 4, 60
BIN 4, 61
BIN 4, 62
BIN 4, 63
BIN 4, 64
BIN 4, 65
BIN 4, 66
BIN 4, 67
BIN 4, 68
BIN 4, 69
BIN 4, 7
BIN 4, 70
BIN 4, 71
BIN 4, 72
BIN 4, 73
BIN 4, 75
BIN 4, 76
BIN 4, 77
BIN 4, 78
BIN 4, 79
BIN 4, 8
BIN 4, 80
BIN 4, 81
BIN 4, 82
BIN 4, 83
BIN 4, 84
BIN 4, 85
BIN 4, 86
BIN 4, 87
BIN 4, 88
BIN 4, 89
BIN 4, 9
BIN 4, 90
BIN 4, 91
BIN 4, 92
BIN 4, 93
BIN 4, 94
BIN 4, 95
BIN 4, 96
BIN 4, 97
BIN 4, 98
BIN 4, 99
BIN 6, 1
BIN 6, 10 env
BIN 6, 10 tablet
BIN 6, 100
BIN 6, 102
BIN 6, 103
BIN 6, 104
BIN 6, 105
BIN 6, 106
BIN 6, 107
BIN 6, 108
BIN 6, 109
BIN 6, 11
BIN 6, 110
BIN 6, 111
BIN 6, 112
BIN 6, 113
BIN 6, 114
BIN 6, 115
BIN 6, 116
BIN 6, 117
BIN 6, 118
BIN 6, 119
BIN 6, 12
BIN 6, 121
BIN 6, 122
BIN 6, 123
BIN 6, 124
BIN 6, 125
BIN 6, 126
BIN 6, 127
BIN 6, 128
BIN 6, 129
BIN 6, 13
BIN 6, 130
BIN 6, 131
BIN 6, 132
BIN 6, 133
BIN 6, 134
BIN 6, 135
BIN 6, 138
BIN 6, 14
BIN 6, 15
BIN 6, 16
BIN 6, 162
BIN 6, 164
BIN 6, 166
BIN 6, 169
BIN 6, 17
BIN 6, 170
BIN 6, 171
BIN 6, 172
BIN 6, 177
BIN 6, 178
BIN 6, 179
BIN 6, 18
BIN 6, 182
BIN 6, 183
BIN 6, 187
BIN 6, 188
BIN 6, 19
BIN 6, 194
BIN 6, 196
BIN 6, 197
BIN 6, 198
BIN 6, 199
BIN 6, 2
BIN 6, 20
BIN 6, 200
BIN 6, 201
BIN 6, 202
BIN 6, 204
BIN 6, 205
BIN 6, 206
BIN 6, 21
BIN 6, 22
BIN 6, 23
BIN 6, 24
BIN 6, 25
BIN 6, 26
BIN 6, 260
BIN 6, 261
BIN 6, 262
BIN 6, 266
BIN 6, 267
BIN 6, 269
BIN 6, 27
BIN 6, 28
BIN 6, 29
BIN 6, 3
BIN 6, 30
BIN 6, 31
BIN 6, 33
BIN 6, 34
BIN 6, 35
BIN 6, 36
BIN 6, 37
BIN 6, 38
BIN 6, 39
BIN 6, 4
BIN 6, 40
BIN 6, 41
BIN 6, 43
BIN 6, 44
BIN 6, 45
BIN 6, 46
BIN 6, 47
BIN 6, 48
BIN 6, 49
BIN 6, 5
BIN 6, 50
BIN 6, 51
BIN 6, 52
BIN 6, 53
BIN 6, 54
BIN 6, 55
BIN 6, 56
BIN 6, 57
BIN 6, 58
BIN 6, 59
BIN 6, 6
BIN 6, 60
BIN 6, 61
BIN 6, 62
BIN 6, 63
BIN 6, 64
BIN 6, 65
BIN 6, 66
BIN 6, 67
BIN 6, 68
BIN 6, 69
BIN 6, 7
BIN 6, 70
BIN 6, 71
BIN 6, 72
BIN 6, 73
BIN 6, 74
BIN 6, 75
BIN 6, 76
BIN 6, 77
BIN 6, 78
BIN 6, 79
BIN 6, 80
BIN 6, 81
BIN 6, 82
BIN 6, 83
BIN 6, 84
BIN 6, 87
BIN 6, 88
BIN 6, 89
BIN 6, 9
BIN 6, 90
BIN 6, 91
BIN 6, 92
BIN 6, 93
BIN 6, 94
BIN 6, 95
BIN 6, 96
BIN 6, 97
BIN 6, 98
BIN 6, 99
Akkadica 18, 31 - O 3918
CCT 1, 44
CCT 2, 1
CCT 2, 11a
CCT 2, 12a-11b
CCT 2, 12b
CCT 2, 13
CCT 2, 14
CCT 2, 15
CCT 2, 16a
CCT 2, 16b-17a
CCT 2, 17b
CCT 2, 18
CCT 2, 19a
CCT 2, 19b
CCT 2, 2
CCT 2, 20
CCT 2, 21a
CCT 2, 21b
CCT 2, 22
CCT 2, 23
CCT 2, 24
CCT 2, 25
CCT 2, 26a
CCT 2, 26b
CCT 2, 27
CCT 2, 29
CCT 2, 3
CCT 2, 30
CCT 2, 31a
CCT 2, 31b-32a
CCT 2, 32a
CCT 2, 33
CCT 2, 34
CCT 2, 35
CCT 2, 36a
CCT 2, 36b-37a
CCT 2, 38
CCT 2, 39
CCT 2, 40a
CCT 2, 40b-41a
CCT 2, 42
CCT 2, 43
CCT 2, 44a
CCT 2, 44b-45a
CCT 2, 45b
CCT 2, 46a
CCT 2, 46b-47a
CCT 2, 47b
CCT 2, 48
CCT 2, 49a
CCT 2, 49b
CCT 2, 4a
CCT 2, 4b-5a
CCT 2, 50
CCT 2, 5b
CCT 2, 6
CCT 2, 7
CCT 2, 8-10
CCT 3, 1
CCT 3, 10
CCT 3, 11
CCT 3, 12a
CCT 3, 12b
CCT 3, 13
CCT 3, 14
CCT 3, 15
CCT 3, 16a
CCT 3, 16b-17a
CCT 3, 17b
CCT 3, 18a
CCT 3, 18b-19a
CCT 3, 19b
CCT 3, 20
CCT 3, 21a
CCT 3, 21b-22a
CCT 3, 22a
CCT 3, 22b-23a
CCT 3, 23b
CCT 3, 24
CCT 3, 25
CCT 3, 26a
CCT 3, 26b
CCT 3, 27a
CCT 3, 27b-28a
CCT 3, 28b
CCT 3, 29
CCT 3, 2a
CCT 3, 2b-3a
CCT 3, 30
CCT 3, 31
CCT 3, 32
CCT 3, 33a
CCT 3, 33b
CCT 3, 34a
CCT 3, 34b-35a
CCT 3, 35b
CCT 3, 36a
CCT 3, 36b-37a
CCT 3, 37a
CCT 3, 38
CCT 3, 39a
CCT 3, 39b
CCT 3, 3b
CCT 3, 4
CCT 3, 40a
CCT 3, 40b
CCT 3, 40c
CCT 3, 41a
CCT 3, 41b-42a
CCT 3, 42b
CCT 3, 43a
CCT 3, 43b-44a
CCT 3, 44b
CCT 3, 45a
CCT 3, 45b-46a
CCT 3, 46b
CCT 3, 47a
CCT 3, 47b
CCT 3, 48b
CCT 3, 49a
CCT 3, 49b
CCT 3, 50a
CCT 3, 50b
CCT 3, 5a
CCT 3, 5b-6a
CCT 3, 6b
CCT 3, 7a
CCT 3, 8b
CCT 3, 9
CCT 4, 10a
CCT 4, 10b
CCT 4, 11a
CCT 4, 12a
CCT 4, 12b
CCT 4, 13a
CCT 4, 13b
CCT 4, 13c
CCT 4, 14a
CCT 4, 14b
CCT 4, 15a
CCT 4, 15b
CCT 4, 15c
CCT 4, 16a
CCT 4, 16b
CCT 4, 16c
CCT 4, 17a
CCT 4, 17b
CCT 4, 18a
CCT 4, 18b
CCT 4, 19a
CCT 4, 19b
CCT 4, 19c
CCT 4, 1a
CCT 4, 1b
CCT 4, 20a
CCT 4, 20b
CCT 4, 21a
CCT 4, 21b
CCT 4, 21c
CCT 4, 22a
CCT 4, 22b
CCT 4, 23a
CCT 4, 23b
CCT 4, 24a
CCT 4, 24b-25a
CCT 4, 25b
CCT 4, 26b
CCT 4, 27a
CCT 4, 27b
CCT 4, 28a
CCT 4, 28b
CCT 4, 29a
CCT 4, 29b
CCT 4, 2a
CCT 4, 2b
CCT 4, 30a
CCT 4, 30b
CCT 4, 31a
CCT 4, 31b
CCT 4, 32a
CCT 4, 32b
CCT 4, 33a
CCT 4, 33b
CCT 4, 34a
CCT 4, 34b
CCT 4, 34c
CCT 4, 35a
CCT 4, 35b
CCT 4, 36a
CCT 4, 36b-37a
CCT 4, 37b
CCT 4, 38a
CCT 4, 38b
CCT 4, 38c-39a
CCT 4, 39b
CCT 4, 3b
CCT 4, 40a
CCT 4, 40b-41a
CCT 4, 41b
CCT 4, 42a
CCT 4, 42b
CCT 4, 42c
CCT 4, 43a
CCT 4, 43b
CCT 4, 44a
CCT 4, 44b
CCT 4, 45a
CCT 4, 45b
CCT 4, 46a
CCT 4, 46b
CCT 4, 47a
CCT 4, 47b
CCT 4, 48a
CCT 4, 48b
CCT 4, 49a
CCT 4, 49b
CCT 4, 4a
CCT 4, 4b
CCT 4, 50a
CCT 4, 50b
CCT 4, 5a
CCT 4, 5b
CCT 4, 6a
CCT 4, 6b
CCT 4, 6c
CCT 4, 6d
CCT 4, 6e
CCT 4, 6f
CCT 4, 7a
CCT 4, 7b
CCT 4, 7c
CCT 4, 8a
CCT 4, 8b
CCT 4, 9a
CCT 4, 9b
CCT 5, 13a
CCT 5, 13b
CCT 5, 15b
CCT 5, 17c
CCT 5, 1a
CCT 5, 1b
CCT 5, 22c
CCT 5, 2a 
CCT 5, 2b
CCT 5, 3a
CCT 5, 3b
CCT 5, 44b - Ramsay 4
CCT 5, 45a - Ramsay 2
CCT 5, 46a
CCT 5, 46b
CCT 5, 47a
CCT 5, 47b
CCT 5, 47c - Ramsay 5
CCT 5, 49a
CCT 5, 49b
CCT 5, 49c
CCT 5, 4a
CCT 5, 4b
CCT 5, 50a
CCT 5, 50c - Ramsay 3
CCT 5, 50d
CCT 5, 5a
CCT 5, 5b
CCT 5, 6a
CCT 5, 6b
CCT 5, 7a
CCT 5, 7b
CCT 5, 8a
CCT 5, 8b
CCT 5, 9a
CCT 6, 10a
CCT 6, 11a
CCT 6, 11b
CCT 6, 12a
CCT 6, 12b
CCT 6, 13a
CCT 6, 14
CCT 6, 15b
CCT 6, 16b
CCT 6, 17b
CCT 6, 17c
CCT 6, 18c
CCT 6, 19a
CCT 6, 20a
CCT 6, 20b
CCT 6, 20c
CCT 6, 21a
CCT 6, 21c
CCT 6, 21e
CCT 6, 22a
CCT 6, 25a
CCT 6, 2a
CCT 6, 32b
CCT 6, 36c
CCT 6, 38c
CCT 6, 3a
CCT 6, 3b
CCT 6, 3c
CCT 6, 43b
CCT 6, 44f
CCT 6, 45a
CCT 6, 45b
CCT 6, 45c
CCT 6, 47c
CCT 6, 4a
CCT 6, 4c
CCT 6, 6b
CCT 6, 7a
CCT 6, 7b
Chantre 12
Chantre 15
Cole 2 - Los Angeles
Cole 6 - Los Angeles
Cole 8 - OAA 1, 8
CTMMA 1, 71
CTMMA 1, 72
CTMMA 1, 73
CTMMA 1, 74
CTMMA 1, 75
CTMMA 1, 76
CTMMA 1, 77
CTMMA 1, 78a
CTMMA 1, 78c
CTMMA 1, 79
CTMMA 1, 80
CTMMA 1, 81
CTMMA 1, 82
CTMMA 1, 83
Dalley 10
Dalley 13
Dalley 14
Dalley 9
HSS 10, 223
ICK 1, 100
ICK 1, 103
ICK 1, 113
ICK 1, 116
ICK 1, 13
ICK 1, 132
ICK 1, 135
ICK 1, 138
ICK 1, 14
ICK 1, 15
ICK 1, 150
ICK 1, 153
ICK 1, 154
ICK 1, 159
ICK 1, 170
ICK 1, 177
ICK 1, 17b-c tablet
ICK 1, 183
ICK 1, 184
ICK 1, 192
ICK 1, 28a-b
ICK 1, 31a-b-c
ICK 1, 33a-b
ICK 1, 37a-b
ICK 1, 48a env
ICK 1, 51
ICK 1, 52
ICK 1, 54
ICK 1, 55
ICK 1, 63
ICK 1, 65
ICK 1, 66
ICK 1, 69
ICK 1, 70
ICK 1, 73
ICK 1, 81
ICK 1, 82
ICK 1, 84
ICK 1, 85
ICK 1, 88
ICK 1, 89
ICK 1, 90
ICK 1, 95
ICK 1, 98
ICK 2, 147
ICK 3 - KKS 12a
ICK 3 - KKS 27a+b
ICK 3 - KKS 33a+b
ICK 3 - KKS 34a+b
ICK 3 - KKS 43b
ICK 3 - KKS 52b
ICK 4 - I 426
ICK 4 - I 428
ICK 4 - I 430
ICK 4 - I 431
ICK 4 - I 432
ICK 4 - I 433
ICK 4 - I 434
ICK 4 - I 435
ICK 4 - I 437
ICK 4 - I 440
ICK 4 - I 442
ICK 4 - I 444
ICK 4 - I 447
ICK 4 - I 466
ICK 4 - I 467
ICK 4 - I 468
ICK 4 - I 469
ICK 4 - I 470
ICK 4 - I 472
ICK 4 - I 473
ICK 4 - I 474
ICK 4 - I 476
ICK 4 - I 477
ICK 4 - I 479
ICK 4 - I 480
ICK 4 - I 482
ICK 4 - I 483
ICK 4 - I 484
ICK 4 - I 485
ICK 4 - I 486
ICK 4 - I 487
ICK 4 - I 489
ICK 4 - I 492
ICK 4 - I 494
ICK 4 - I 497
ICK 4 - I 502
ICK 4 - I 503
ICK 4 - I 506
ICK 4 - I 507
ICK 4 - I 509
ICK 4 - I 515
ICK 4 - I 519
ICK 4 - I 520
ICK 4 - I 523
ICK 4 - I 525
ICK 4 - I 529
ICK 4 - I 530
ICK 4 - I 531
ICK 4 - I 533
ICK 4 - I 537
ICK 4 - I 539
ICK 4 - I 543
ICK 4 - I 545
ICK 4 - I 547
ICK 4 - I 548
ICK 4 - I 549
ICK 4 - I 550
ICK 4 - I 553
ICK 4 - I 558
ICK 4 - I 564
ICK 4 - I 565
ICK 4 - I 571
ICK 4 - I 574
ICK 4 - I 576
ICK 4 - I 577
ICK 4 - I 581
ICK 4 - I 583
ICK 4 - I 585
ICK 4 - I 590
ICK 4 - I 593
ICK 4 - I 597
ICK 4 - I 598
ICK 4 - I 599
ICK 4 - I 603
ICK 4 - I 607
ICK 4 - I 611
ICK 4 - I 613
ICK 4 - I 637
ICK 4 - I 637b
ICK 4 - I 638
ICK 4 - I 639
ICK 4 - I 640
ICK 4 - I 643
ICK 4 - I 644
ICK 4 - I 646
ICK 4 - I 647
ICK 4 - I 648
ICK 4 - I 649
ICK 4 - I 650
ICK 4 - I 653
ICK 4 - I 654
ICK 4 - I 656
ICK 4 - I 657
ICK 4 - I 661
ICK 4 - I 669
ICK 4 - I 670
ICK 4 - I 671
ICK 4 - I 672
ICK 4 - I 673
ICK 4 - I 675
ICK 4 - I 676
ICK 4 - I 678
ICK 4 - I 679
ICK 4 - I 680
ICK 4 - I 686
ICK 4 - I 687
ICK 4 - I 688
ICK 4 - I 689
ICK 4 - I 704
ICK 4 - I 705
ICK 4 - I 706
ICK 4 - I 707
ICK 4 - I 708
ICK 4 - I 709
ICK 4 - I 711
ICK 4 - I 712
ICK 4 - I 714
ICK 4 - I 718
ICK 4 - I 719
ICK 4 - I 720
ICK 4 - I 723
ICK 4 - I 724
ICK 4 - I 726
ICK 4 - I 730
ICK 4 - I 732
ICK 4 - I 739
ICK 4 - I 744
ICK 4 - I 746
ICK 4 - I 748
ICK 4 - I 749
ICK 4 - I 750
ICK 4 - I 753
ICK 4 - I 761
ICK 4 - I 764
ICK 4 - I 767
ICK 4 - I 768
ICK 4 - I 772
ICK 4 - I 778
ICK 4 - I 782
ICK 4 - I 784
ICK 4 - I 791
ICK 4 - I 793
ICK 4 - I 800
ICK 4 - I 822
ICK 4 - I 825
ICK 4 - I 836
JCS 14, 10
JCS 14, 11
JCS 14, 13
JCS 14, 2
JCS 14, 3
JCS 14, 4
JCS 14, 6
JCS 15, Herring
JCS 35, Clayton
JCS 41, 3 - Foster A
Ka 1004 - Anatolica 12, 153 (or 12, 138 ?)
Ka 1113 - Anatolica 12, 154
RA 85, 103 - Ka 295
Ka 327 - RA 85, 105
Ka 338 - RA 85, 105
Ka 343 - RA 85, 105
Ka 423 - Anatolica 12, 152
Ka 435 - Anatolica 12, 152
Ka 807 - AnOr 42, 171
Ka 975 - Anatolica 12, 154
Kayseri 64
Kayseri 69
Kayseri 70
Kayseri 90
KBo 9, 1
KBo 9, 2
KBo 9, 20
KBo 9, 40
KBo 9, 6
Kt 00/k 17
Kt 01/k 219
Kt 83/k 164
Kt 83/k 284
Kt 83/k 136
Kt 84/k 281
Kt 85/k 27
Kt 87/k 248-249
Kt 88/k 507b
Kt 88/k 972
TPAK 1, 1
TPAK 1, 10a
TPAK 1, 11
TPAK 1, 14
TPAK 1, 16
TPAK 1, 17
TPAK 1, 2
TPAK 1, 20
TPAK 1, 21a-b
TPAK 1, 22
TPAK 1, 23
TPAK 1, 24
TPAK 1, 242
TPAK 1, 25
TPAK 1, 26
TPAK 1, 27
TPAK 1, 28
TPAK 1, 29
TPAK 1, 3
TPAK 1, 30
TPAK 1, 32
TPAK 1, 33
TPAK 1, 34
TPAK 1, 35
TPAK 1, 36
TPAK 1, 37
TPAK 1, 4
TPAK 1, 40
TPAK 1, 41
TPAK 1, 42
TPAK 1, 45
TPAK 1, 46
TPAK 1, 48
TPAK 1, 49
TPAK 1, 50
TPAK 1, 54
TPAK 1, 56
TPAK 1, 57
TPAK 1, 58
TPAK 1, 59
TPAK 1, 6
TPAK 1, 60
TPAK 1, 61
TPAK 1, 63
TPAK 1, 64
TPAK 1, 67
TPAK 1, 68
TPAK 1, 69
TPAK 1, 7
TPAK 1, 70
TPAK 1, 76
TPAK 1, 8
TPAK 1, 9
Kt 91/k 240
Kt 93/k 81
Kt 98/k 118
Kt 98/k 126
Kt a/k 411
Kt a/k 545
Kt a/k 571
Kt b/k 95
Kt c/k 100
Kt c/k 1087
Kt c/k 167
Kt c/k 257
Kt c/k 263
Kt c/k 47
Kt c/k 50
Kt c/k 535
Kt c/k 683
Kt c/k 90
Kt c/k 99
Kt d/k 5
Kt e/k 58
Kt e/k 68
Kt e/k 82
Kt e/k 90
Kt e/k 95
Kt g/k 199
Kt g/t 35
Kt h/k 20
Kt h/k 73
Kt j/k 623
Kt j/k 686
Kt k/k 4
Kt m/k 14
Kt n/k 1138
Kt n/k 1192
Kt n/k 1251
Kt n/k 1318
Kt n/k 1336
Kt n/k 1340
Kt n/k 1374
Kt n/k 1454
Kt n/k 1464
Kt n/k 1538
Kt n/k 1637
Kt n/k 1648
Kt n/k 1689
Kt n/k 388
Kt n/k 67 + kt n/k 66
Kt o/k 30
Kt u/k 3
Kt v/k 57
Kt v/k 7 and u/k 31
KTB 1
KTB 2
KTB 3
KTB 4
KTB 5
KTB 6
KTB 7
KTH 1
KTH 10
KTH 11
KTH 12
KTH 13
KTH 14
KTH 15
KTH 16a
KTH 17
KTH 18
KTH 19
KTH 2
KTH 3
KTH 4
KTH 5
KTH 6
KTH 7
KTH 8
KTH 9
KTK 102 - Silejko 3 - EL 191
KTK 12
KTK 14
KTK 15
KTK 17 - Silejko 7
KTK 18
KTK 19 - Golenischeff 20
KTK 20 - Golenischeff 14
KTK 21 - Golenischeff 15
KTK 22 - Golenischeff 16
KTK 23 - Golenischeff 17
KTK 24
KTK 30
KTK 44
KTK 63 - Golenischeff c
KTK 65
KTK 67 - Golenischeff 18 - Silejko 1
KTP 1
KTP 10
KTP 11
KTP 12
KTP 13
KTP 15
KTP 2
KTP 20
KTP 3
KTP 5
KTP 6
KTP 7
KTP 8
KTP 9
KTS 1, 10
KTS 1, 11
KTS 1, 12
KTS 1, 13a
KTS 1, 13b
KTS 1, 14a
KTS 1, 14b
KTS 1, 14c
KTS 1, 15
KTS 1, 16
KTS 1, 17
KTS 1, 18
KTS 1, 19a
KTS 1, 19b
KTS 1, 1a
KTS 1, 1b
KTS 1, 20
KTS 1, 21a
KTS 1, 21b
KTS 1, 22a
KTS 1, 22b
KTS 1, 23
KTS 1, 24
KTS 1, 25a
KTS 1, 25b
KTS 1, 26a
KTS 1, 26b
KTS 1, 27a
KTS 1, 27b
KTS 1, 28
KTS 1, 29a
KTS 1, 29b
KTS 1, 2a
KTS 1, 2b
KTS 1, 30
KTS 1, 31a
KTS 1, 31b
KTS 1, 31c
KTS 1, 32a
KTS 1, 32b
KTS 1, 32c
KTS 1, 33a
KTS 1, 33b
KTS 1, 34a
KTS 1, 34b
KTS 1, 35a
KTS 1, 35b
KTS 1, 35c
KTS 1, 36a
KTS 1, 36b
KTS 1, 36c
KTS 1, 37a
KTS 1, 37b
KTS 1, 38a
KTS 1, 39a
KTS 1, 3a
KTS 1, 3b
KTS 1, 3c
KTS 1, 40
KTS 1, 41b
KTS 1, 42a
KTS 1, 42d
KTS 1, 4a
KTS 1, 4b
KTS 1, 52a
KTS 1, 59b
KTS 1, 5a
KTS 1, 5b
KTS 1, 6
KTS 1, 7a
KTS 1, 7b
KTS 1, 8a
KTS 1, 8b
KTS 1, 9a
KTS 1, 9b
KTS 2, 10
KTS 2, 11
KTS 2, 12
KTS 2, 13
KTS 2, 14
KTS 2, 15
KTS 2, 16
KTS 2, 18
KTS 2, 19
KTS 2, 20
KTS 2, 21
KTS 2, 22
KTS 2, 23
KTS 2, 24
KTS 2, 25
KTS 2, 27
KTS 2, 28
KTS 2, 29
KTS 2, 3
KTS 2, 30
KTS 2, 31
KTS 2, 32
KTS 2, 33
KTS 2, 34
KTS 2, 35
KTS 2, 36
KTS 2, 37
KTS 2, 38
KTS 2, 39
KTS 2, 4
KTS 2, 40
KTS 2, 41
KTS 2, 43
KTS 2, 44
KTS 2, 45
KTS 2, 48
KTS 2, 49
KTS 2, 50
KTS 2, 51
KTS 2, 52
KTS 2, 57
KTS 2, 58
KTS 2, 59
KTS 2, 61
KTS 2, 64
KTS 2, 70
KTS 2, 71
KTS 2, 8
KTS 2, 9
KUG 12
KUG 27
KUG 28
KUG 29
KUG 30
KUG 31
KUG 32
KUG 33
KUG 34
KUG 35
KUG 36
KUG 37
KUG 38
KUG 39
KUG 40
KUG 41
KUG 42
KUG 43
KUG 44
KUG 45
KUG 46
KUG 48
KUG 49
KUG 50
LB 1202
LB 1275
LB 1290
LB 1295
LB 1296
C1 - Nesr
C18 - Nesr
C24 - Nesr - Winkenbach 3
C25 - Nesr
C33 - Nesr
C43 - Nesr - Holzmeister
OIP 27, 13
OIP 27, 14
OIP 27, 15
OIP 27, 17
OIP 27, 2
OIP 27, 23
OIP 27, 25
OIP 27, 26
OIP 27, 27
OIP 27, 30
OIP 27, 35
OIP 27, 40
OIP 27, 41
OIP 27, 43
OIP 27, 44
OIP 27, 46, Frag A
OIP 27, 5
OIP 27, 51
OIP 27, 6
OIP 27, 62
OIP 27, 9
OrNS 50, 2
OrNS 50, 3
OrNS 52, 3
POAT 10
POAT 11
POAT 13
POAT 14
POAT 15
POAT 16
POAT 17
POAT 18
POAT 19
POAT 20
POAT 21
POAT 22
POAT 24
POAT 25
POAT 27
POAT 28
POAT 29
POAT 3
POAT 30
POAT 31
POAT 33
POAT 35
POAT 39
POAT 41
POAT 42
POAT 43
POAT 46
POAT 5
POAT 50
POAT 55
POAT 58
POAT 6
POAT 62
poat 7
POAT 8
RA 51, 3 - HG 74
RA 51, 7 - HG 75
RA 58, 114 (Sch 14)
RA 58, 114 (Sch 15)
RA 58, 118 (Sch 16)
RA 58, 118 (Sch 17)
RA 58, 118 (Sch 18)
RA 58, 122 (Sch 19)
RA 58, 122 (Sch 20)
RA 58, 122 (Sch 21)
RA 58, 126 (Sch 22)
